Node,Pd,Qd,Vmax,Vmin,Gs,Bs,baseKV
1,0,0,1.1,0.9,0,0,12.66
2,0.794,0.1855,1.1,0.9,0,0.0011,12.66
3,0,0,1.1,0.9,0,0.0028,12.66
4,0.021,0.0084,1.1,0.9,0,0.0024,12.66
5,0.018,0.0043,1.1,0.9,0,0.0004,12.66
6,0.03,0.0073,1.1,0.9,0,0.0008,12.66
7,0.022,0.0055,1.1,0.9,0,0.0006,12.66
8,0.022,0.0019,1.1,0.9,0,0.0006,12.66
9,0.024,0.0059,1.1,0.9,0,0.0012,12.66
10,0.023,0.0142,1.1,0.9,0,0.0004,12.66
11,0.022,0.0065,1.1,0.9,0,0.0004,12.66
12,0,0.0033,1.1,0.9,0,0.0001,12.66
13,0.622,0.1291,1.1,0.9,0,0.0001,12.66
14,0.002,0.0008,1.1,0.9,0,0.0002,12.66
15,0.023,0.0083,1.1,0.9,0,0.0001,12.66
